id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
1205,,,عطار ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-64540017,,,,, 021-64542404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1206,,پیمان,عطاری,, مشتریان صنعت کامپوزیت,,,051-37295666,,,,,051-37295667,,,,,,,,,,,,,,,,,,,,,,,,,051-37272018,09154166266,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : مشهد، خیابان فلسطین،فلسطین 22 ، پلاک 52 ،طبقه 3 آدرس 2 : خیابان فلسطین،فلسطین 22 ، پلاک 52 ،طبقه 3	باربری کوروش:میدان شوش ،خیابان شهید صابونیان،جنب پاسازدنیای بلور یا میلاد(اقای سیامکی:09125198550)",9185785865,,,,,,,,,,,,,,,
1207,,وحید,عظیمی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09381377199,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، جوادیه، خیابان طارمی، پلاک 69، واحد 4",1365814611,,,,,,,,,,,,,,,
1208,عقاب اسکانیا,,عقاب افشان,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,021-33879091,,,,,021-88530682,,,,,021-88530689,,,,,,,,,,,,,,,,,,,,021-88530683,09122462612,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سه راه افسریه،کیلومتر 5 بزرگراه امام رضا، بعد از گردنه تنباکویی، جنب توان گاز، عقاب اسکانیا",,,,,,,,,,,,,,,,
1209,,سید فرهاد,علی آقایی,, مشتریان صنعت کامپوزیت,,,88908886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09120398005,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : تهران، خیابان کریم خان ، ابتدای خیابان نجات الهی، نبش کوچه امانی، پلاک 283، ساختمان آقا جانی",1598863311,,,,,,,,,,,,,,,
1210,,علی,علی غنی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,33951881,,,,,33983522,,,,,33983219,,,,,,,,,,,,,,,,,,,,33951781,09121118651,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :تهران، خیابان امیرکبیر، بین ملت وسعدی، جنب پاساژ طوس، پلاک 538",1115673695,,,,,,,,,,,,,,,
1211,,,علیپور,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-44163188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-44163188,09125251630,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران بلوار فردوس ، پروانه شمالی ، خیابان 16، پلاک 24، طبقه دوم غربی",,,,,,,,,,,,,,,,
1212,,رضوان,علیپوریان,, مشتریان صنعت کامپوزیت,,,44847416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09196096144,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، انتهای اشرفی اصفهانی،  شهرک نفت، خیابان 16،  پلاک 10,   واحد 29",1469854787,,,,,,,,,,,,,,,
1213,,علی,علیخانی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09360752054,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : زنجان، خرمدره، شهرک گلدشت، خیابان حافظ، کوچه عدالت، بن بست 2، پلاک 5",4571818763,,,,,,,,,,,,,,,
1214,,,علیزاده,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09355445212,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان راضی، سر پل امام زاده معصومه، خیابان شهید نعیمی، بلور سازی قدیم، خیابان محمد سولوت، پلاک 16",,,,,,,,,,,,,,,,
1215,عماد صنعتگران اسپادانا,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09134242167,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : اصفهان، منطقه صنعتی دولت آباد، خیابان شیخ بهایی، پلاک 55",8341668834,,,,,,,,,,,,,,,
1216,,,عمار لویی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09111362825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,عمران آمایش,,جلالی,, مشتریان صنعت کامپوزیت,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123726329,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1218,جواد میرزایی,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,33773404,,,,,33744555,,,,,33763375,,,,,,,,,,,,,,,,,,,,33392937,09121498446,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1(پستی) : خیابان فدائیان اسلام، سه راه پل سیمان، ابتدای خیابان سرگرد محمدی، روبروی بانک صادرات، پلاک 363",1857913437,,,,,,,,,,,,,,,
1219,عمران تجارت دانا,مجتبی,روحانی,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-77727661,,,,,021-77725810,,,,,,,,,,,,,,,,,,,,,,,,,,"09199133708, 09123973598",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :تهران،  تهرانپارس،خیابان آهنی آمینه (عادل) شمالی ، پلاک 74 واحد 2",,,,,,,,,,,,,,,,
1220,عمران تهویه,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88876961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1221,عمران گستران چهل ستون,,,, مشتریان صنعت کامپوزیت,,,37754154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131173187,,,,,,,,,,,,,,,,,,"آدرس 2 : اصفهان، بلوار کشاورز، باند کندرو اتوبان شهید حبیب اللهی ، نرسید ه به میدان سهروردی، جنب مسجد آدرس 1 : اصفهان، بلوار کشاورز، خیابان چهل توت، بن بست اخوت، پلاک 40",8177759167 8177759167,,,,,,,,,,,,,,,
1222,عمران مروارید اندیشمندان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 026-34384881,,,,,026-34384870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,البرز,کرج,ایران البرز کرج کیلومتر 14 جاده قدیم کرج قزوین سه راه سهیلیه ,,,,,,,,,,,,,,,,
1223,,امیر حسین, عمو شعبانی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-26802715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران زعفرانیه، بلوار بهزادی، نبش کوچه ماکوئی پور، ساختمان سروین، واحد 41",1987733161,,,,,,,,,,,,,,,
1224,,نعمت,عیسی زاده,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,مرد,44534765,,,,,44534766,,,,,,,,,,,,,,,,,,,,,,,,,,09122110710,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، تهرانسر،فاز 4،انتهای بلوار یاس،  خیابان شهید صدوقی، کوچه 15 شرقی، پلاک 43 ، واحد 4 آدرس 2(پستی): تهران، شهرک گلستان، بلوار امیر کبیر، قبل از چهار راه هاشم زاده، پلاک 239، طبقه اول",1494914775,,,,,,,,,,,,,,,
1225,,منصوره, عینه دینپور,, مشتریان صنعت کامپوزیت,مصرف کننده,زن, 021-66725932,,,,,021-66731943,,,,,,,,,,,,,,,,,,,,,,,,,021-66725932,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران میدان فردوسی خیابان تقوی کوچه انوشیروانی شماره 2 طبقه 3 واحد 8,,,,,,,,,,,,,,,,
1226,,حسین,غدیر,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131119584,,,,,,,,,,,,,,,,اصفهان,اصفهان,ایران اصفهان اصفهان ,,,,,,,,,,,,,,,,
1227,غرب صنعت زنگان,,,, مشتریان صنعت کامپوزیت,تولید کننده لوله های کامپوزیتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121413847,,,,,,,,,,,,,,,,زنجان,زنجان,"آدرس 2 : باربری صداقت بار : خیابان شوش ، میدان هرندی ، اول خزانه شمالی   تلفن:55187451 ایران زنجان زنجان آدرس 1 (پستی ) : زنجان، شهرک صنعتی علی آباد زنجان ، خیابان توسعه 4،پلاک 467",4533153738,,,,,,,,,,,,,,,
1228,غزلستان شرق,,کشاورز,, مشتریان صنعت کامپوزیت,مصرف کننده,, 061-3350493,,,,,061-3314409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,خوزستان,اهواز,ایران خوزستان اهواز  کیلومتر 10 جاده خرمشهر بعد از مجتمع آهن غرب اهواز جنب کارخانه لوله سازی خوزستان انبارهای سپاه,,,,,,,,,,,,,,,,
1229,,,غفارزاده,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,026-32806039,,,,,026-32806031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,البرز,کرج,ایران البرز کرج ,,,,,,,,,,,,,,,,
1230,,, غفاری ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09127103914,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1231,,,غفاری,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09352528604,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1232,,مجتبی,غلام زاده,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09155157899,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : خراسان رضوی، مشهد، چهار راه ابوطالب، بازار بین المللی برجیس، واحد 46",9188649346,,,,,,,,,,,,,,,
1233,,یدالله,غلامپور,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09179812156,,,,,,,,,,,,,,,,,,"آدرس 1 : استان فارس ،شهرستان مهر، شهر گله دار آدرس 2 : باربری فارس :شوش غربی ،میدان هرندی",7449162823,,,,,,,,,,,,,,,
1234,,مهرناز,غلامی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09362596958,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : اصفهان، ملک شهر، خیابان مفتح، کوچه ازادی، مجتمع قباد، واحد 3",8196614349,,,,,,,,,,,,,,,
1235,فروشگاه رنگ پارس اشن,,فروشگاه رنگ پارس اشن,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,76213700,,,,,33946053,,,,,76212171,,,,,76213135,,,,,76213691,,,,,,,,,,,"09126278634, 09121237845",,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2 : انبار: جاده آبعلی، منطقه صنعتی خرمدشت، خیابان سیاسنگ، خیابان صاحب الزمان،کوچه 10 متری صنایع،پلاک 109 ایران تهران تهران آدرس 1 : تهران، جاده آبعلی، منطقه صنعتی خرمدشت، خیابان سیاسنگ، پلاک 261", ,,,,,,,,,,,,,,,
1236,,احمد,غیاثی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123602654,,,,,,,,,,,,,,,,,,"آدرس 1 : کرج، البرز",,,,,,,,,,,,,,,,
1237,فاتح صنعت کیمیا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,071-37742141,,,,,071-37742480,,,,,071-37742481,,,,,,,,,,,,,,,,,,,,071-37742145,,,,,,,,,,,,,,,,,فارس,شیراز,"ایران فارس شیراز آدرس  1 :شیراز،  شهرک صنعتی بزرگ، فلکه دوم، میدان صنعت، بلوار صنعت جنوبی، خیابان 101، شرکت فاتح صنعت کیمیا آدرس 2 : باربری خلیج فارس: خیابان فدائیان اسلام، زیر پل بعثت، سمت چپ           تلفن:33895468",7158177686,,,,,,,,,,,,,,,
1238,فارس ایران,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,81056,,,,,88719021,,,,,88721664,,,,,88517740,,,,,88048575,,,,,,,,,,88048575,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1(پستی ): تهران، خیابان شیرازجنوبی ، پایین تر از همت ،کوچه رضوان، پلاک 9",1436954711,,,,,,,,,,,,,,,
1239,فارس چسب,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 071-32602143,,,,,071-32602400,,,,,,,,,,,,,,,,,,,,,,,,,071-32602145,,,,,,,,,,,,,,,,,فارس,شیراز,"ایران فارس شیراز آدرس 1 : شیراز، زرقان، شهرک صنعتی آب باریک، خیابان سوم سمت چپ",7341986466,,,,,,,,,,,,,,,
1240,,محمد,فاضلی,, مشتریان صنعت کامپوزیت,,,88620369,,,,,055-12247878,,,,,9355078722,,,,,,,,,,,,,,,,,,,,055-12219083,,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : خراسان رضوی ، نیشابور ، مدرس 23، بغل مسجد سجاد، پلاک 285 آدرس 2 :  تهران، باربری پیشتاز بندر :خیابان شهید رجایی شمالی، مقابل گمرک جنوب، خیابان غفاری، پلاک 12  تلفن: 55055072", ,,,,,,,,,,,,,,,
1241,فام گستر تابان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-44334725,,,,,021-44323861 ,,,,,,,,,,,,,,,,,,,,,,,,,,09124192996,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1242,فایبر سازان,,دولتی,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-55332370,,,,,021-77509968,,,,,,,,,,,,,,,,,,,,,,,,,021-77538724,09122877422,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شریعتی، بالاتر از خیابان سمیه، نبش کوچه مشایخی، ساختمان جواهری، طبقه دوم، واحد 27",,,,,,,,,,,,,,,,
1243,فایبر گستر,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,041-36372117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,آذربایجان شرقی,تبریز,ایران آذربایجان شرقی تبریز آدرس 1 : تبریز,,,,,,,,,,,,,,,,
1244,فایبر گستر,,,, مشتریان صنعت کامپوزیت,فروشنده مواد اولیه کامپوزیت,,021-56452891,,,,,021-56452892,,,,,,,,,,,,,,,,,,,,,,,,,021-56452891,09123088096,,,,,,,,,,,,,,,,مرکزی,ساوه,"ایران مرکزی ساوه جاده ساوه، گلستان( سلطان آباد )، روبروی درمانگاه شبانه روزی، جنب بانک سپه",,,,,,,,,,,,,,,,
1245,پژمان بهرام نژاد,,,, مشتریان صنعت کامپوزیت,فروشنده مواد اولیه کامپوزیت,,33483123,,,,,33483115,,,,,,,,,,,,,,,,,,,,,,,,,,09126995790,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1 : خیابان خاوران، نرسیده به میدان ثامن الحجج ،روبروی ایستگاه تاکسیرانی، پاساژ تهرانی، پلاک 838 ایران تهران تهران آدرس 2 : تهران، سه راه افسریه ، نرسیده به میدان آقا نور، داخل کندرو، جنب گاراژ تهرانی، فایبر گلاس خاتم", ,,,,,,,,,,,,,,,
1246,فایبر گلاس کامی,,پورپرتویی,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,, 014-34822817,,,,,0142-4823187,,,,,,,,,,,,,,,,,,,,,,,,,014-34823187,09111387754,,,,,,,,,,,,,,,,گیلان,,"ایران گیلان بندر کیاشهر، خیابان شهداء، بعد از پل امام زاده",,,,,,,,,,,,,,,,
1247,فایبرگلاس شهرام,,بلوری,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,026-3322980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,البرز,کرج,"ایران البرز کرج  بلوار ارم، پایینتر از سه راه شهریاری، خیابان سوم شرقی، جنب کوچه یاران و بنگاه یاران",,,,,,,,,,,,,,,,
1248,فایبرگلاس یلدا,,فرحبخش,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09139281017,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان فلکه دانشگاه، خیابان امام خمینی، فلکه پشت ایستگاه واحد",,,,,,,,,,,,,,,,
1249,,عزیز الله,فتاحی پور,, مشتریان صنعت کامپوزیت,,,09127909765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 :البرز،کرج،  میدان استاندارد، بلوار کامیونداران، بلوک24، ورودی شهرک صنعتی کرج، واحد2 آدرس 2(پستی) : کرج ، بلوار بنقشه، شقایق یک، پلاک 48 ، واحد3",3174858939 3174858939,,,,,,,,,,,,,,,
1250,,محمد حسین,فتوحی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09375439190,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : خوزستان، اهواز، خیابان زند، خیابان ظفر پور، خیابان دهبان، پلاک 64",6195863438,,,,,,,,,,,,,,,
1251,فجر,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-44668636,,,,,021-44668634,,,,,,,,,,,,,,,,,,,,,,,,,,09125355836,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1252,,مسعود,فحول,, مشتریان صنعت کامپوزیت,,,48662619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09027176468,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، کیلومتر 15 اتوبان تهران کرج، بلوار پژوهش، پژوهشگاه پلیمر و پتروشیمی ایران، مرکز کار آفرینی آدرس 2 :  باربری وطن:شوش غربی، چهار راه خانی آباد، اول رجائی، پلاک 763",1497713115,,,,,,,,,,,,,,,
1253,,,فدایی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09201201103, 09127036268",,,,,,,,,,,,,,,,بوشهر,عسلویه,ایران بوشهر عسلویه ,,,,,,,,,,,,,,,,
1254,فرآیند صنعت آب,,تقی پور,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-46893867,,,,,021-46893866,,,,,,,,,,,,,,,,,,,,,,,,,021-46893847,09121128513,,,,,,,,,,,,,,,,البرز,کرج,"ایران البرز کرج  جاده ملارد ، سه راه انبار نفت ، کیلومتر 5 جاده شهریار ، دهستان هفت جوی ، خیابان 110 صنعت گران ، پلاک 165",,,,,,,,,,,,,,,,
1255,فرا ایمن بسپار,,دارائی پور,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88756953,,,,,021-88756780,,,,,021-88757900,,,,,,,,,,,,,,,,,,,,021-88756953,09123242560,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان خرمشهر (آپادانا) ، جنب بانک اقتصادنوین، پلاک 136، طبقه پنجم",,,,,,,,,,,,,,,,
1256,فرا بتن آسیا,,یعقوبی,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,021-22267584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09125602339,,,,,,,,,,,,,,,,تهران,,"ایران تهران کیلومتر 23 جاده مخصوص گرم دره، خیابان تاجبخش، خیابان کوهک دوم غربی، مجتمع صنعتی دهقان، باغ دهقان",,,,,,,,,,,,,,,,
1257,فرا پویش اراک,,,, مشتریان صنعت کامپوزیت,,,086-34135735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,086-34130370,09181610358,,,,,,,,,,,,,,,,,,"آدرس 2 : باربری جاوید ترابر: شوش غربی، جنب پمپ بنزین، اولین خیابان سمت راست، پلاک 1      تلفن:55186977 آدرس 3 (پستی ) : اراک ، خیابان شهید بهشتی، کوچه اضد 2، بن بست فخار، پلاک 49 آدرس 1 : اراک، شهرک صنعتی شماره1، انتهای خیابان پویندگان", 3813656148 3819953588,,,,,,,,,,,,,,,
1258,فرا سنگ کیمیا,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09163469069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,فرا فن سازه تاو,,,, مشتریان صنعت کامپوزیت,,,88531608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122575443,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی): تهران، خیابان قائم مقام فرهانی، بالاتر از مطهری، کوچه دهم، پلاک 10، طبقه اول، واحد 4",1586865819,,,,,,,,,,,,,,,
1260,فرابرد,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,071-32250549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071-32250449,,,,,,,,,,,,,,,,,فارس,شیراز,ایران فارس شیراز آدرس 1 :,,,,,,,,,,,,,,,,
1261,,,فرابرد شیراز,, مشتریان صنعت کامپوزیت,,,071-36713090,,,,,071-36713286,,,,,,,,,,,,,,,,,,,,,,,,,,09178876191,,,,,,,,,,,,,,,,,,"آدرس 2:فارس ، شیراز، کیلومتر 15 جاده شیراز به سپیدان، گویم، انتهای خیابان آبشار آدرس 1 : فارس ، شیراز، کیلومتر 60 جاده سپیدان ، جنب پاسگاه دالین آدرس 3 : آدرس 3 پستی :تهران ،خیابان ولیعصر، خیابان توانیر ، خیابان نظامی گنجوی، پلاک 22، خانم بابائی",7194171145 7143746448 ,,,,,,,,,,,,,,,
1262,فراپاکس,,,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,, 071-37232242,,,,,071-27232276,,,,, 071-36319702,,,,,071-36319700,,,,,071-32686773,,,,,071-36278447,,,,,"071-36278447, 071-36305821, 071-37232275","09171176463, 09173173526, 09173150799, 09171124106, 09177074782",,,,,,,,,,,,,,,,فارس,شیراز,"آدرس 2 : باربری فارس:خیابان شوش، میدان غار  شماره تماس :55186920 7 ایران فارس شیراز آدرس 1 : شیراز, 45 کیلومتری جاده شیراز، سپیدان، بعد از روستای شول، نرسیده به روستای سنگر، سمت چپ جاده",7194673968,,,,,کد اقتصادی 411168566156,,,,,,,,,,
1263,فراپوشرنگ,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88513106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آرژانتین، خیابان بخارست، خیابان 16، پلاک 20، طبقه 2",,,,,,,,,,,,,,,,
1264,فرازند ایرانیان راد,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,051-36083900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,051-37668257,09151100524,,,,,,,,,,,,,,,,خراسان رضوی,مشهد,"ایران خراسان رضوی مشهد آدرس 1 : مشهد، رضاشهر، بلوار رضوی 32، پلاک 22",9193833989,,,,,,,,,,,,,,,
1265,فراسان,,,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,, 071-32291918,,,,,071-32293948,,,,,8867394,,,,,88673950,,,,,,,,,,,,,,,"071-32277216, 071-32272697","09177154798, 09171176465",,,,,,,,,,,,,,,,فارس,شیراز,"ایران فارس شیراز آدرس 1 : تهران، خیابان ولیعصر، خیابان توانیر، خیابان نظامی گنچوی، روبروی تره بار، پلاک 22",,,,,,,,,,,,,,,,
1266,فراسر شیمی,,رحیمی,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-77505039,,,,,021-77526680,,,,, 021-77505040,,,,,,,,,,,,,,,,,,,,021-77526680,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شریعتی، بالاتراز جهارراه حقوقی، نبش کوچه مشایخی، ساختمان جوهری، طبقه سوم، واحد 37           ",,,,,,,,,,,,,,,,
1267,فراسنگ,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-65467667,,,,,88768654,,,,,,,,,,,,,,,,,,,,,,,,,65467665,09123855878,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، شهریار، فردوسیه ، مجتمع صنعتی فردوسیه، پلاک 21",,,,,,,,,,,,,,,,
1268,,,فرافام,, مشتریان صنعت کامپوزیت,,, 021-65435771,,,,,021-65435784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,فراگردان,,زارع,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-77513031,,,,,021-88140818,,,,,021-88140820,,,,,,,,,,,,,,,,,,,,,09121713530,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران کریم خان، خیابان صناعی، نبش چهارراه شاهین، پلاک 91، طبقه دوم، واحد 4",,,,,,,,,,,,,,,,
1270,,,فرامرزی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09151059227, 09144166570",,,,,,,,,,,,,,,,خراسان رضوی,مشهد,"آدرس 2 : باربری فارس: شوش ، میدان غار، هرندی           تلفن55186921 ایران خراسان رضوی مشهد آدرس 1 : مشهد", ,,,,,,,,,,,,,,,
1271,فرانگر,,عابدی,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-34611060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031-34610937,09133102389,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان اتوبان چمران، مقابل کوی میثم، نبش کوچه 31،       ",8149969363,,,,,,,,,,,,,,,
1272,فرانگر زر فام,,,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,65683858,,,21,,65684687,,,,,65682153,,,,,88617787,,,,,65684107,,,,,,,,,,"65682153, 88623884","09120303734, 09369545148, 09121040959",,,,,,,,,,,,,,,,تهران,شهریار,"ایران تهران شهریار آدرس 1(پستی): تهران،شهریار،ابتدای جاده کهن، بین سه راه اسد آباد و کشتارگاه ،کوی کشاورزان ،انتهای کوی، پلاک 13",3351893459,,,,,,,,,,,,,,,
1273,,,فرج الهی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09183737809,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده شهریار به اشتهارد، بعد از صفادشت، خیابان سلمیان، بلوار سلمیان، پلاک 26",,,,,,,,,,,,,,,,
